date,analyte,instrument,result
2026-01-02 08:14:03.125,Glucose,Architect c8000,96.2
2026-01-02 09:02:41.384,Glucose,Architect c8000,97.1
2026-01-02 09:58:22.019,Glucose,Architect c8000,95.8
2026-01-02 10:43:10.773,Glucose,Architect c8000,98.4
2026-01-02 11:37:55.640,Glucose,Architect c8000,99.2
2026-01-02 12:21:36.481,Glucose,Architect c8000,100.1
2026-01-02 13:09:12.250,Glucose,Architect c8000,98.9
2026-01-02 08:19:48.502,Glucose,Atellica CH,94.8
2026-01-02 09:10:16.094,Glucose,Atellica CH,95.6
2026-01-02 10:04:39.811,Glucose,Atellica CH,96.9
2026-01-02 10:51:07.236,Glucose,Atellica CH,96.4
2026-01-02 11:45:28.957,Glucose,Atellica CH,97.8
2026-01-02 12:35:02.618,Glucose,Atellica CH,98.3
2026-01-02 13:22:40.176,Glucose,Atellica CH,97.2
2026-01-02 08:11:29.411,Creatinine,Architect c8000,0.91
2026-01-02 09:05:13.004,Creatinine,Architect c8000,0.93
2026-01-02 09:54:58.672,Creatinine,Architect c8000,0.92
2026-01-02 10:48:31.290,Creatinine,Architect c8000,0.94
2026-01-02 11:39:49.518,Creatinine,Architect c8000,0.95
2026-01-02 12:28:11.845,Creatinine,Architect c8000,0.96
2026-01-02 13:16:30.099,Creatinine,Architect c8000,0.94
2026-01-02 08:16:44.207,Creatinine,Atellica CH,0.88
2026-01-02 09:12:30.563,Creatinine,Atellica CH,0.90
2026-01-02 10:01:22.148,Creatinine,Atellica CH,0.91
2026-01-02 10:57:04.731,Creatinine,Atellica CH,0.89
2026-01-02 11:50:36.409,Creatinine,Atellica CH,0.92
2026-01-02 12:42:07.540,Creatinine,Atellica CH,0.93
2026-01-02 13:31:51.886,Creatinine,Atellica CH,0.91
2026-01-02 08:23:02.010,Sodium,Dimension EXL,139.4
2026-01-02 09:17:50.306,Sodium,Dimension EXL,140.1
2026-01-02 10:08:15.887,Sodium,Dimension EXL,139.8
2026-01-02 10:59:42.064,Sodium,Dimension EXL,140.3
2026-01-02 11:53:11.942,Sodium,Dimension EXL,141.0
2026-01-02 12:47:24.331,Sodium,Dimension EXL,140.6
2026-01-02 13:38:09.705,Sodium,Dimension EXL,140.9
2026-01-02 08:28:38.716,Sodium,Atellica CH,138.8
2026-01-02 09:21:19.345,Sodium,Atellica CH,139.2
2026-01-02 10:13:44.120,Sodium,Atellica CH,139.7
2026-01-02 11:05:21.699,Sodium,Atellica CH,140.0
2026-01-02 11:58:59.033,Sodium,Atellica CH,140.5
2026-01-02 12:53:45.277,Sodium,Atellica CH,140.1
2026-01-02 13:44:18.812,Sodium,Atellica CH,140.4
